Group,Bias,Average toxicity,Model,Prompting,% of toxic output,alpha,Head id,Method,Pruning ratio,gamma,Seed,Split,PPL
gender_and_sex,0.4112223195494492,0.1262809320088043,gpt2,holistic,8.34972462627852,0.5,14,None,0,0.5,1,valid,36.398
gender_and_sex,0.45318857946667923,0.12503959814171658,gpt2,holistic,8.212037765538946,0.5,15,None,0,0.5,1,valid,37.17
gender_and_sex,0.34055423294160403,0.14306547928905858,gpt2,holistic,10.149488591660111,0.5,16,None,0,0.5,1,valid,36.942
gender_and_sex,0.43109991595661906,0.12109853481268446,gpt2,holistic,8.094020456333595,0.5,17,None,0,0.5,1,valid,37.511
gender_and_sex,0.36212008733336354,0.12771375379654443,gpt2,holistic,8.46774193548387,0.5,18,None,0,0.5,1,valid,37.435
gender_and_sex,0.442436760926045,0.12661332134468664,gpt2,holistic,8.556254917387882,0.5,19,None,0,0.5,1,valid,36.601
gender_and_sex,0.4464661242028917,0.13058345390699416,gpt2,holistic,8.979150275373723,0.5,20,None,0,0.5,1,valid,36.017
gender_and_sex,0.4527773009858099,0.11995010133119237,gpt2,holistic,7.8284815106215575,0.5,21,None,0,0.5,1,valid,35.832999999999984
gender_and_sex,0.455822385389972,0.13161894814277247,gpt2,holistic,8.979150275373723,0.5,22,None,0,0.5,1,valid,35.77100000000001
gender_and_sex,0.40276712879172916,0.11572827866604765,gpt2,holistic,7.651455546813532,0.5,23,None,0,0.5,1,valid,37.23599999999999
gender_and_sex,0.40688679689324503,0.12941009221276223,gpt2,holistic,8.959480723839498,0.5,24,None,0,0.5,1,valid,36.80399999999999
gender_and_sex,0.4218856607877574,0.13783064681885474,gpt2,holistic,9.67741935483871,0.5,25,None,0,0.5,1,valid,37.018000000000015
gender_and_sex,0.43370006394330973,0.13213617762849855,gpt2,holistic,8.939811172305271,0.5,26,None,0,0.5,1,valid,35.916
gender_and_sex,0.41545365057642625,0.13103134354735807,gpt2,holistic,9.097167584579072,0.5,27,None,0,0.5,1,valid,36.00299999999999
gender_and_sex,0.32179799914372176,0.14098906975277892,gpt2,holistic,10.041306058221872,0.5,28,None,0,0.5,1,valid,37.26
gender_and_sex,0.45863915800371857,0.12380268344578167,gpt2,holistic,8.280881195908734,0.5,29,None,0,0.5,1,valid,36.03499999999998
gender_and_sex,0.38054075856876624,0.13454135924827454,gpt2,holistic,9.323367427222658,0.5,30,None,0,0.5,1,valid,37.36599999999999
gender_and_sex,0.3779853712154843,0.12448855597829765,gpt2,holistic,8.418568056648308,0.5,31,None,0,0.5,1,valid,37.426
gender_and_sex,0.4690967596496955,0.12582715542255993,gpt2,holistic,8.448072383949647,0.5,32,None,0,0.5,1,valid,36.623000000000005
gender_and_sex,0.3592912173300377,0.12842103109483516,gpt2,holistic,8.762785208497247,0.5,33,None,0,0.5,1,valid,36.636
gender_and_sex,0.42907819651182066,0.13312574358658077,gpt2,holistic,9.12667191188041,0.5,34,None,0,0.5,1,valid,37.17100000000001
gender_and_sex,0.3804709783244915,0.12664301775410788,gpt2,holistic,8.536585365853659,0.5,35,None,0,0.5,1,valid,36.961000000000006
gender_and_sex,0.4133661832994202,0.13166641299405818,gpt2,holistic,9.215184893784421,0.5,36,None,0,0.5,1,valid,36.370999999999995
gender_and_sex,0.36480414902604097,0.1277188882551116,gpt2,holistic,8.851298190401259,0.5,37,None,0,0.5,1,valid,36.78099999999999
gender_and_sex,0.4387376977067693,0.12616926135349524,gpt2,holistic,8.457907159716758,0.5,38,None,0,0.5,1,valid,36.07100000000001
gender_and_sex,0.46544805939421985,0.13091580402947217,gpt2,holistic,8.920141620771046,0.5,39,None,0,0.5,1,valid,36.124
gender_and_sex,0.45557583602331286,0.12888207960405787,gpt2,holistic,8.762785208497247,0.5,40,None,0,0.5,1,valid,35.94299999999999
gender_and_sex,0.41524697911319486,0.13550342484460676,gpt2,holistic,9.195515342250197,0.5,41,None,0,0.5,1,valid,36.28499999999998
gender_and_sex,0.44984158802129937,0.12485302329370551,gpt2,holistic,8.418568056648308,0.5,42,None,0,0.5,1,valid,35.88999999999999
gender_and_sex,0.43485872487115657,0.13383883462820687,gpt2,holistic,9.24468922108576,0.5,43,None,0,0.5,1,valid,36.452
gender_and_sex,0.43127631657755927,0.12368682315269808,gpt2,holistic,8.084185680566483,0.5,44,None,0,0.5,1,valid,36.02999999999999
gender_and_sex,0.41478836836886956,0.12180109809964679,gpt2,holistic,7.9661683713611335,0.5,45,None,0,0.5,1,valid,36.273
gender_and_sex,0.4066022245439288,0.12983559643018336,gpt2,holistic,8.81195908733281,0.5,46,None,0,0.5,1,valid,36.126
